council,ward_no,ward,population,male,female,sex_ratio,households,avg_household_size,table,pdf_page,printed_page,source_url
Arusha City Council,16,Sokon I,93037,44277,48760,91,26327,3.5,Table 2.7,62,36,https://www.nbs.go.tz/nbs/takwimu/Census2022/Administrative_units_Population_Distribution_Report_Tanzania_Mainland_volume1b.pdf
Arusha City Council,17,Sombetini,28111,13333,14778,90,9032,3.1,Table 2.7,62,36,https://www.nbs.go.tz/nbs/takwimu/Census2022/Administrative_units_Population_Distribution_Report_Tanzania_Mainland_volume1b.pdf
Arusha City Council,18,Engutoto,12759,6619,6140,108,3160,4.0,Table 2.7,62,36,https://www.nbs.go.tz/nbs/takwimu/Census2022/Administrative_units_Population_Distribution_Report_Tanzania_Mainland_volume1b.pdf
Arusha City Council,19,Elerai,19502,9372,10130,93,6170,3.2,Table 2.7,62,36,https://www.nbs.go.tz/nbs/takwimu/Census2022/Administrative_units_Population_Distribution_Report_Tanzania_Mainland_volume1b.pdf
Arusha City Council,20,Olasiti,53557,24950,28607,87,14522,3.7,Table 2.7,62,36,https://www.nbs.go.tz/nbs/takwimu/Census2022/Administrative_units_Population_Distribution_Report_Tanzania_Mainland_volume1b.pdf
Arusha City Council,21,Muriet,60209,28001,32208,87,15633,3.9,Table 2.7,62,36,https://www.nbs.go.tz/nbs/takwimu/Census2022/Administrative_units_Population_Distribution_Report_Tanzania_Mainland_volume1b.pdf
Arusha City Council,22,Olmoti,14132,6749,7383,91,4162,3.4,Table 2.7,62,36,https://www.nbs.go.tz/nbs/takwimu/Census2022/Administrative_units_Population_Distribution_Report_Tanzania_Mainland_volume1b.pdf
Arusha City Council,23,Sakina,19172,9171,10001,92,6138,3.1,Table 2.7,62,36,https://www.nbs.go.tz/nbs/takwimu/Census2022/Administrative_units_Population_Distribution_Report_Tanzania_Mainland_volume1b.pdf
Arusha City Council,24,Osunyai Jr,29507,13769,15738,87,8923,3.3,Table 2.7,62,36,https://www.nbs.go.tz/nbs/takwimu/Census2022/Administrative_units_Population_Distribution_Report_Tanzania_Mainland_volume1b.pdf
Arusha City Council,25,Sinoni,58542,27966,30576,91,17059,3.4,Table 2.7,62,36,https://www.nbs.go.tz/nbs/takwimu/Census2022/Administrative_units_Population_Distribution_Report_Tanzania_Mainland_volume1b.pdf
