organisation	host	kind	item_id	date	title	tags	listing_url
Arusha Regional Secretariat	arusha.go.tz	news	2572	2026-04-18	WANAWAKE INJINI YA UCHUMI WA TAIFA LA TANZANIA 🇹🇿	exhibition_or_public_event	https://arusha.go.tz/api/news?page=6&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	2538	2026-04-17	🌍 UGENI: WAZIRI MKUU AWASILI ARUSHA 🇹🇿	exhibition_or_public_event	https://arusha.go.tz/api/news?page=6&limit=50
Simanjiro District Council	simanjirodc.go.tz	news	2204	2026-04-08	KARUME DAY,2026	public_meeting	https://simanjirodc.go.tz/api/news?page=1&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	2176	2026-04-07	KUMBUKIZI YA MIAKA 54 YA KIFO CHA HAYATI SHEIKH ABEID AMANI KARUME🇹🇿	public_meeting, exhibition_or_public_event	https://arusha.go.tz/api/news?page=6&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	2175	2026-04-06	SALAMU ZA MHE.RAIS MIAKA 54 YA KUMBUKIZI YA KIFO CHA HAYATI SHEIKH ABEID AMANI KARUME	public_meeting, exhibition_or_public_event	https://arusha.go.tz/api/news?page=6&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	2174	2026-04-06	SALAMU ZA MHE.RAIS MIAKA 54 YA KUMBUKIZI YA KIFO CHA HAYATI SHEIKH ABEID AMANI KARUME	public_meeting, exhibition_or_public_event	https://arusha.go.tz/api/news?page=6&limit=50
Monduli District Council	mondulidc.go.tz	news	2198	2026-04-03	Reginald Johnson Mbwambo Mwenyekiti CBWSO 2026/2028 Monduli.	election_period	https://mondulidc.go.tz/api/news?page=1&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	2146	2026-04-02	RAIS DKT. MWINYI AZINDUA MBIO ZA MWENGE WA UHURU 2026, ASISITIZA AMANI, UZALENDO NA UWAJIBIKAJI🇹🇿	public_meeting, exhibition_or_public_event	https://arusha.go.tz/api/news?page=7&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	2143	2026-04-02	RAS ARUSHA AHIMIZA KASI YA UKUSANYAJI WA MAPATO KARATU DC🇹🇿	parents_or_education, officials_training	https://arusha.go.tz/api/news?page=7&limit=50
Hai District Council	haidc.go.tz	announcements	435	2026-03-30	Maadhimisho ya siku ya misitu kuhadhimishwa wilaya ya Hai	exhibition_or_public_event	https://haidc.go.tz/api/announcements?page=1&limit=50
Meru District Council	merudc.go.tz	news	2114	2026-03-30	DC MWINYI AZINDUA ZOEZI LA UPANDAJI MITI KATIKA SHULE YA SEKONDARI KIKWE	parents_or_education, election_period	https://merudc.go.tz/api/news?page=1&limit=50
Monduli District Council	mondulidc.go.tz	news	1882	2026-03-25	Monduli yaadhimisha Siku ya Misitu Duniani kwa kupanda Miche 2,000.	parents_or_education, exhibition_or_public_event	https://mondulidc.go.tz/api/news?page=1&limit=50
Hai District Council	haidc.go.tz	news	1724	2026-03-19	Bodi za maji wilayani Hai zaagizwa kutunza vyanzo maji	parents_or_education, exhibition_or_public_event	https://haidc.go.tz/api/news?page=2&limit=50
Hai District Council	haidc.go.tz	news	1609	2026-03-18	Jamii yatakiwa kujikinga na magonjwa ya kinywa na meno	parents_or_education, exhibition_or_public_event	https://haidc.go.tz/api/news?page=2&limit=50
Hai District Council	haidc.go.tz	news	1603	2026-03-17	Wanafunzi washauriwa kutunza Mazingira	parents_or_education, exhibition_or_public_event, election_period	https://haidc.go.tz/api/news?page=2&limit=50
Monduli District Council	mondulidc.go.tz	news	1854	2026-03-17	Shule ya Msingi Engaruka Juu Yapokea Magodoro, Wanafunzi Kurudi Shule Machi 18, 2026.	parents_or_education, exhibition_or_public_event	https://mondulidc.go.tz/api/news?page=1&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	1417	2026-03-16	KAMATI YA KUDUMU YA BUNGE TAMISEMI YATUA ARUSHA	parents_or_education, exhibition_or_public_event	https://arusha.go.tz/api/news?page=7&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	1415	2026-03-16	RAS ARUSHA APIGA MARUFUKU WENYEVITI WA MITAA NA VIJIJI KUKAA NA MIHURI	parents_or_education, officials_training	https://arusha.go.tz/api/news?page=7&limit=50
Manyara Regional Secretariat	manyara.go.tz	news	1373	2026-03-16	RC SENDIGA AWATAKA WANAWAKE MKOANI MANYARA KUWALINDA WATOTO WA KIKE DHIDI YA VITENDO VYA KIKATILI.	parents_or_education, exhibition_or_public_event	https://manyara.go.tz/api/news?page=1&limit=50
Simanjiro District Council	simanjirodc.go.tz	news	1463	2026-03-16	OFISI YA DC SIMANJIRO WAFANYA UTALII WA NDANI TARANGIRE	officials_training	https://simanjirodc.go.tz/api/news?page=1&limit=50
Simanjiro District Council	simanjirodc.go.tz	news	1459	2026-03-16	DC FAKII AKAGUA VIFAA TIBA HOSPITALI YA WILAYA SIMANJIRO	officials_training	https://simanjirodc.go.tz/api/news?page=1&limit=50
Simanjiro District Council	simanjirodc.go.tz	news	1455	2026-03-16	Mkuu wa Usalama Barabarani wilaya ya Simanjiro, ASP Raphael Karani, aakiwafundisha wanafunzi wa shule ya Msingi Terrat sheria muhimu za usalama barabarani	parents_or_education, election_period	https://simanjirodc.go.tz/api/news?page=1&limit=50
Simanjiro District Council	simanjirodc.go.tz	news	1358	2026-03-16	Kikao cha Kujadili Dira ya Maendeleo ya Taifa	public_meeting, parents_or_education	https://simanjirodc.go.tz/api/news?page=1&limit=50
Manyara Regional Secretariat	manyara.go.tz	news	1383	2026-03-15	KUELEKEA SIKU YA WANAWAKE DUNIANI, RC SENDIGA ASISITIZA HAKI ZA WANAWAKE NA WASICHANA ZIZINGATIWE.	parents_or_education, exhibition_or_public_event	https://manyara.go.tz/api/news?page=1&limit=50
Manyara Regional Secretariat	manyara.go.tz	news	1380	2026-03-15	KUELEKEA SIKU YA WANAWAKE DUNIANI, RC SENDIGA AKABIDHI VITU VYA MILIONI 3.2 KWA GEREZA LA WANAWAKE BABATI.	exhibition_or_public_event	https://manyara.go.tz/api/news?page=1&limit=50
Simanjiro District Council	simanjirodc.go.tz	news	1395	2026-03-15	Moja ya kikundi cha akinamam wa jamii ya kimaasai wanaojihusisha na kupanda na kuvuna majani na mbegu za majani wilayani Simanjiro	public_meeting	https://simanjirodc.go.tz/api/news?page=1&limit=50
Simanjiro District Council	simanjirodc.go.tz	announcements	338	2026-03-15	Tangazo la Usafi	exhibition_or_public_event	https://simanjirodc.go.tz/api/announcements?page=1&limit=50
Arusha District Council	arushadc.go.tz	news	1372	2026-03-14	WATUMISHI WA UMMA WATAKIWA KUFANYA KAZI KWA WELEDI	exhibition_or_public_event, officials_training	https://arushadc.go.tz/api/news?page=1&limit=50
Arusha City Council	arushacc.go.tz	news	1103	2026-03-10	KATIBU TAWALA AKUTANA NA WATUMISHI	parents_or_education, officials_training	https://arushacc.go.tz/api/news?page=1&limit=50
Hai District Council	haidc.go.tz	news	1083	2026-03-10	Maadhimisho ya Siku ya Wanawake Duniani Mkoa wa Kilimanjaro yafanyika Wilaya ya Hai	parents_or_education, exhibition_or_public_event	https://haidc.go.tz/api/news?page=2&limit=50
Hai District Council	haidc.go.tz	news	980	2026-03-10	Mkuu wa Mkoa wa Kilimanjaro Mhe.Nurdin Babu ahimiza usawa	parents_or_education, exhibition_or_public_event	https://haidc.go.tz/api/news?page=2&limit=50
Meru District Council	merudc.go.tz	news	1102	2026-03-10	BARAZA LA MADIWANI LA HALMASHAURI YA WILAYA YA MERU LAPITISHA RASIMU YA MPANGO WA BAJETI SH. 75.6 BILIONI	public_meeting, parents_or_education	https://merudc.go.tz/api/news?page=1&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	903	2026-03-09	RC MAKALLA AHIMIZA USHIRIKIANO, UTEKELEZAJI WA MAONO YA RAIS SAMIA MKOANI ARUSHA	public_meeting	https://arusha.go.tz/api/news?page=7&limit=50
